,County,population,Year,county,year
644,LUCAS,9422,1999,,
645,CLARKE,9017,2007,,
646,FRANKLIN,11030,1997,,
647,WARREN,47358,2013,,
648,MAHASKA,22363,2014,,
649,WOODBURY,103728,1998,,
650,WRIGHT,12943,2020,,
651,MONTGOMERY,10939,2007,,
652,CASS,15128,1990,,
653,HOWARD,9257,2016,,
654,MAHASKA,22018,2018,,
655,AUDUBON,5863,2013,,
656,WAPELLO,34991,2018,,
657,MADISON,14864,2005,,
658,APPANOOSE,13744,1991,,
659,EMMET,10508,2004,,
660,WINNEBAGO,10943,2006,,
661,HENRY,20134,2007,,
662,FRANKLIN,10636,2002,,
663,CALHOUN,9913,2012,,
664,GREENE,9928,2004,,
665,BUTLER,15713,1991,,
666,PAGE,17344,1997,,
667,BREMER,24746,2015,,
668,CASS,14228,2003,,
669,IOWA,15932,2006,,
670,HENRY,20001,1996,,
671,WINNEBAGO,11804,1996,,
672,JACKSON,19366,2015,,
673,WAPELLO,35673,2006,,
674,KEOKUK,11341,2002,,
675,MONONA,8751,2020,,
676,LEE,34894,2015,,
677,CLINTON,49487,2003,,
678,LEE,35447,2009,,
679,BLACK HAWK,126628,2002,,
680,SCOTT,153222,1992,,
681,JACKSON,19431,2014,,
682,GUTHRIE,11350,2004,,
683,WINNEBAGO,10430,2013,,
684,BUCHANAN,20565,2020,,
685,MUSCATINE,41806,2004,,
686,ADAIR,7074,2018,,
687,CLARKE,9074,2006,,
688,POLK,354096,1996,,
689,LUCAS,8880,2011,,
690,AUDUBON,6893,1999,,
691,MONROE,7937,2001,,
692,BLACK HAWK,126026,2003,,
693,FLOYD,17058,1990,,
694,CLINTON,49116,2010,,
695,JASPER,36460,2008,,
696,GRUNDY,12272,2018,,
697,MILLS,14873,2012,,
698,CLAY,17255,2001,,
699,MONROE,8184,1995,,
700,JASPER,36087,1998,,
701,DELAWARE,17081,2018,,
702,BUCHANAN,21026,2013,,
703,MITCHELL,10644,2016,,
704,OSCEOLA,6811,2003,,
705,BENTON,26571,2006,,
706,DALLAS,69696,2011,,
707,POTTAWATTAMIE,93416,2017,,
708,CALHOUN,11503,1993,,
709,O'BRIEN,15646,1995,,
710,WORTH,7930,1993,,
711,CLAYTON,18952,1998,,
712,MADISON,12516,1991,,
713,FAYETTE,19679,2018,,
714,WINNEBAGO,10354,2019,,
715,ADAIR,8397,1991,,
716,SAC,12324,1990,,
717,LEE,38901,1994,,
718,STORY,85232,2007,,
719,MARION,30183,1992,,
720,CARROLL,21525,1995,,
721,HARRISON,15569,1999,,
722,CERRO GORDO,43206,2014,,
723,POCAHONTAS,7204,2011,,
724,POLK,328531,1991,,
725,DAVIS,8428,1997,,
726,DECATUR,8459,1997,,
727,CEDAR,18049,2002,,
728,APPANOOSE,13355,2004,,
729,HUMBOLDT,9569,2017,,
730,DELAWARE,17567,2012,,
731,STORY,83476,2006,,
732,BUENA VISTA,20500,1996,,
733,CALHOUN,9811,2016,,
734,CALHOUN,9927,2020,,
735,CARROLL,20165,2019,,
736,WRIGHT,13377,2005,,
737,POWESHIEK,18884,1994,,
738,WAPELLO,35022,2017,,
739,WEBSTER,40283,1993,,
740,SIOUX,34855,2019,,
741,CEDAR,17860,1997,,
742,SHELBY,12992,2001,,
743,KEOKUK,11073,2004,,
744,SAC,12036,1994,,
745,JOHNSON,151140,2019,,
746,EMMET,10302,2010,,
747,CASS,14214,2002,,
748,HARDIN,16878,2020,,
749,MADISON,13340,1996,,
750,BUTLER,14782,2003,,
751,CLINTON,49614,2002,,
752,ADAIR,8366,1996,,
753,IDA,8365,1990,,
754,CALHOUN,11377,1998,,
755,APPANOOSE,13743,1990,,
756,CLARKE,8287,1990,,
757,BENTON,26551,2007,,
758,DAVIS,8565,2002,,
759,IOWA,14744,1992,,
760,CLAYTON,17463,2009,,
761,HAMILTON,14773,2019,,
762,DECATUR,8239,2012,,
763,FLOYD,16031,2008,,
764,WORTH,7557,2014,,
765,CARROLL,21427,2000,,
766,DECATUR,8538,1999,,
767,STORY,80057,2001,,
768,ADAIR,7005,2016,,
769,OSCEOLA,6448,2008,,
770,FLOYD,17056,1991,,
771,DELAWARE,18347,1996,,
772,HAMILTON,16151,2003,,
773,PAGE,15329,2016,,
774,IDA,8333,1995,,
775,AUDUBON,6992,1995,,
776,MITCHELL,10971,1996,,
777,BUENA VISTA,19992,1991,,
778,LYON,11172,2009,,
779,UNION,12616,2013,,
780,TAMA,17614,2011,,
781,LOUISA,12175,2003,,
782,GUTHRIE,10941,1991,,
783,HAMILTON,15467,2011,,
784,HANCOCK,12100,2000,,
785,MONONA,9019,2008,,
786,CLARKE,8301,1991,,
787,MONROE,7970,2010,,
788,PALO ALTO,10147,2000,,
789,WINNESHIEK,20871,2005,,
790,TAMA,17950,1998,,
791,CASS,13765,2011,,
792,WAPELLO,36037,1993,,
793,MILLS,15060,2017,,
794,BUTLER,15731,1990,,
795,CHICKASAW,13297,1996,,
796,MITCHELL,10735,2001,,
797,DECATUR,8454,2004,,
798,KOSSUTH,15413,2012,,
799,CLARKE,9245,2013,,
800,DUBUQUE,95945,2013,,
801,STORY,98537,2020,,
802,MONROE,7836,2016,,
803,BENTON,22526,1992,,
804,AUDUBON,6004,2011,,
805,KEOKUK,11486,1997,,
806,TAYLOR,6541,2006,,
807,CLAYTON,17726,2015,,
808,IOWA,16192,2016,,
809,CHICKASAW,11952,2018,,
810,TAYLOR,6213,2016,,
811,VAN BUREN,7736,1998,,
812,FRANKLIN,10070,2019,,
813,FREMONT,7604,2004,,
814,WEBSTER,39268,1998,,
815,BLACK HAWK,133390,2014,,
816,SCOTT,165224,2010,,
817,ADAMS,3644,2018,,
818,CLAY,16667,2010,,
819,SCOTT,161473,2006,,
820,JONES,20522,1997,,
821,TAYLOR,6958,2000,,
822,HAMILTON,15352,2008,,
823,MONROE,7577,2020,,
824,JONES,20403,2007,,
825,LUCAS,9132,1993,,
826,MARSHALL,39227,2004,,
827,MITCHELL,10700,2014,,
828,ADAIR,7051,2017,,
829,CEDAR,18348,2016,,
830,CERRO GORDO,44654,2004,,
831,FAYETTE,19687,2017,,
832,TAYLOR,6260,2012,,
833,FLOYD,15999,2014,,
834,MUSCATINE,41274,1997,,
835,WINNESHIEK,20847,1990,,
836,TAYLOR,7024,1993,,
837,HUMBOLDT,10381,2000,,
838,IOWA,15794,2007,,
839,MAHASKA,21613,1993,,
840,HOWARD,9679,2004,,
841,GRUNDY,12244,1996,,
842,KOSSUTH,16780,2001,,
843,DELAWARE,17288,2016,,
844,JONES,20548,2014,,
845,MADISON,16000,2017,,
846,HARDIN,18941,1995,,
847,MONROE,8209,1993,,
848,TAMA,17217,2015,,
849,FLOYD,15752,2018,,
850,OSCEOLA,6204,2012,,
851,JOHNSON,96595,1991,,
852,GUTHRIE,10984,2008,,
853,JONES,19607,1992,,
854,IOWA,15756,2002,,
855,MONONA,8866,2015,,
856,POCAHONTAS,7346,2009,,
857,CLINTON,47248,2016,,
858,MONROE,7728,2005,,
859,RINGGOLD,5420,1990,,
860,ADAIR,7387,2013,,
861,MARION,32310,2005,,
862,CEDAR,17505,1992,,
863,CARROLL,21423,1990,,
864,LINN,174288,1993,,
865,HENRY,19490,1992,,
866,CHEROKEE,13204,1999,,
867,POWESHIEK,18832,2000,,
868,LUCAS,9619,2004,,
869,ADAMS,4503,1998,,
870,SIOUX,32114,2006,,
871,KOSSUTH,15400,2011,,
872,ADAMS,4032,2008,,
873,MADISON,15343,2007,,
874,DICKINSON,16644,2008,,
875,MONTGOMERY,10632,2011,,
